DEPTH,GR,RHOB,RT
7554,105.16,2.547,18.117
7554.5,104.7,2.545,18.547
7555,104.25,2.543,18.273
7555.5,102.62,2.538,16.416
7556,100.99,2.533,12.219
7556.5,100.46,2.531,14.181
7557,99.92,2.529,13.301
7557.5,99.57,2.528,14.301
7558,99.22,2.527,13.986
7558.5,97.53,2.522,10.567
7559,95.84,2.518,13.523
7559.5,95.68,2.517,13.928
7560,95.52,2.517,10.684
7560.5,94.34,2.513,10.471
7561,93.16,2.51,9.203
7561.5,93.05,2.51,11.639
7562,92.93,2.51,10.42
7562.5,92.92,2.51,11.659
7563,92.91,2.51,11.667
7563.5,91.29,2.505,10.22
7564,89.67,2.501,12.04
7564.5,88.3,2.498,8.537
7565,86.93,2.494,8.81
7565.5,87.86,2.496,7.97
7566,88.79,2.499,10.894
7566.5,86.99,2.494,10.463
7567,85.19,2.49,7.966
7567.5,84.2,2.487,9.814
7568,83.21,2.484,9.98
7568.5,84.7,2.488,8.142
7569,86.2,2.492,8.931
7569.5,86.86,2.494,8.116
7570,87.51,2.496,10.329
7570.5,88.29,2.498,8.107
7571,89.06,2.5,9.984
7571.5,89.36,2.5,10.175
7572,89.67,2.501,10.115
7572.5,89.24,2.5,10.288
7573,88.81,2.499,10.097
7573.5,90.59,2.503,11.502
7574,92.36,2.508,9.886
7574.5,94.14,2.513,8.626
7575,95.93,2.518,14.376
7575.5,96.32,2.519,13.65
7576,96.72,2.52,13.44
7576.5,96.66,2.52,12.949
7577,96.61,2.52,11.805
7577.5,95.85,2.518,12.874
7578,95.1,2.516,11.137
7578.5,96.21,2.519,14.717
7579,97.32,2.522,12.382
7579.5,99.3,2.528,16.075
7580,101.27,2.534,11.631
7580.5,100.43,2.531,11.942
7581,99.59,2.528,16.415
7581.5,96.79,2.52,10.889
7582,93.99,2.513,11.78
7582.5,95.23,2.516,13.557
7583,96.48,2.519,10.852
7583.5,97.71,2.523,16.801
7584,98.94,2.526,15.877
7584.5,95.78,2.517,10.513
7585,92.61,2.509,11.222
7585.5,87.29,2.495,8.812
7586,81.96,2.481,9.194
7586.5,85.11,2.489,11.56
7587,40.76,2.372,18.052
7587.5,44.2,2.381,16.348
7588,47.65,2.389,14.347
7588.5,46.23,2.386,13.551
7589,44.82,2.382,15.365
7589.5,44.67,2.382,15.976
7590,44.53,2.382,15.808
7590.5,44.8,2.382,14.131
7591,45.08,2.383,15.545
7591.5,44.25,2.381,16.365
7592,43.42,2.379,17.043
7592.5,44.24,2.381,14.137
7593,45.06,2.383,15.232
7593.5,47.42,2.389,14.16
7594,49.77,2.395,13.557
7594.5,50,2.396,12.717
7595,50.22,2.396,11.685
7595.5,49.1,2.393,12.126
7596,47.97,2.39,13.91
7596.5,48.22,2.391,13.118
7597,48.47,2.392,13.104
7597.5,49.54,2.394,13.091
7598,50.61,2.397,11.22
7598.5,49.4,2.394,12.899
7599,48.19,2.391,12.887
7599.5,44.12,2.381,16.824
7600,40.04,2.37,18.975
7600.5,41.93,2.375,17.378
7601,43.81,2.38,15.817
7601.5,43.71,2.379,15.885
7602,43.62,2.379,15.323
7602.5,44.23,2.381,16.065
7603,44.85,2.382,15.072
7603.5,46.51,2.387,13.917
7604,48.18,2.391,12.4
7604.5,46.55,2.387,12.901
7605,44.92,2.383,15.149
7605.5,46.47,2.386,13.062
7606,48.02,2.39,14.458
7606.5,52.75,2.403,11.377
7607,57.48,2.416,9.512
7607.5,56.56,2.413,9.401
7608,55.63,2.411,10.904
7608.5,56.86,2.414,9.508
7609,58.08,2.417,9.731
7609.5,58.1,2.417,10.595
7610,58.12,2.417,9.113
7610.5,56.95,2.414,10.035
7611,55.78,2.411,10.42
7611.5,56.55,2.413,9.571
7612,57.31,2.415,10.6
7612.5,55.31,2.41,10.356
7613,53.31,2.404,10.784
7613.5,47.86,2.39,13.713
7614,42.41,2.376,16.174
7614.5,47.58,2.389,14.381
7615,52.75,2.403,11.172
7615.5,56.45,2.413,10.644
7616,60.14,2.423,9.354
7616.5,59.75,2.422,9.884
7617,59.35,2.421,9.323
7617.5,57.78,2.416,9.2
7618,56.2,2.412,10.023
7618.5,57.21,2.415,9.393
7619,58.23,2.418,9.667
7619.5,57.31,2.415,9.73
7620,56.39,2.413,10.401
7620.5,53.08,2.404,11.213
7621,49.76,2.395,13.364
7621.5,51.3,2.399,12.204
7622,52.84,2.403,10.946
7622.5,55.24,2.41,11.239
7623,57.63,2.416,9.201
7623.5,59.2,2.42,9.445
7624,60.76,2.424,10.19
7624.5,60.02,2.422,9.579
7625,59.27,2.42,9.252
7625.5,57.45,2.415,9.773
7626,55.62,2.411,10.62
7626.5,55.8,2.411,10.272
7627,55.97,2.411,10.85
7627.5,51.22,2.399,12.526
7628,46.46,2.386,12.897
7628.5,77.39,2.469,10.925
7629,60.82,2.425,9.897
7629.5,56.64,2.413,9.947
7630,52.47,2.402,12.379
7630.5,52.26,2.402,10.523
7631,52.05,2.401,11.548
