DEPTH,GR,RHOB,RT
8300.5,102.47,2.537,16.257
8301,106.15,2.55,20.246
8301.5,109.54,2.564,24.304
8302,106.48,2.552,19.358
8302.5,100.18,2.53,16.254
8303,100.04,2.53,15.473
8303.5,101.65,2.535,16.633
8304,103.7,2.542,19.608
8304.5,102.29,2.537,14.21
8305,99.1,2.527,15.196
8305.5,96.42,2.519,12.179
8306,98.62,2.526,16.205
8306.5,101.75,2.535,17.777
8307,103.75,2.542,18.32
8307.5,102.35,2.537,16.703
8308,102.61,2.538,17.125
8308.5,103.45,2.541,19.433
8309,103.9,2.542,19.059
8309.5,108.6,2.56,22.87
8310,113.25,2.58,38.971
8310.5,116.14,2.594,89.094
8311,114.63,2.587,56.852
8311.5,111.52,2.572,36.456
8312,109.06,2.562,27.105
8312.5,108.32,2.559,24.029
8313,106.23,2.551,23.161
8313.5,104.69,2.545,20.641
8314,103.72,2.542,19.235
8314.5,105.03,2.546,18.396
8315,103.51,2.541,16.662
8315.5,99.94,2.529,15.529
8316,101.74,2.535,16.835
8316.5,106.69,2.552,23.939
8317,108.24,2.558,23.803
8317.5,105.42,2.548,19.998
8318,105.42,2.548,16.225
8318.5,108.19,2.558,20.621
8319,109.36,2.563,31.089
8319.5,106.47,2.551,25.972
8320,103.79,2.542,21.189
8320.5,104.87,2.546,17.871
8321,105.28,2.547,17.932
8321.5,104.12,2.543,16.129
8322,101.48,2.534,16.737
8322.5,99.98,2.53,16.077
8323,103.33,2.54,12.959
8323.5,108.6,2.56,33.198
8324,108.51,2.559,31.854
8324.5,105.71,2.549,20.587
8325,102.33,2.537,17.664
8325.5,104.27,2.544,13.69
8326,109.65,2.564,28.812
8326.5,111.54,2.572,37.786
8327,110.54,2.568,36.039
8327.5,106.56,2.552,21.722
8328,103.45,2.541,17.89
8328.5,103.01,2.539,17.07
8329,99.09,2.527,12.412
8329.5,97.18,2.521,13.943
8330,94.86,2.515,14.167
8330.5,88.12,2.497,10.434
8331,76.94,2.468,7.859
8331.5,66.01,2.439,9.512
8332,58.87,2.419,9.49
8332.5,53.61,2.405,11.509
8333,50.27,2.396,12.899
8333.5,51.72,2.4,11.695
8334,55.52,2.41,11.206
8334.5,55.42,2.41,11.312
8335,51.34,2.399,11.334
8335.5,44.81,2.382,15.37
8336,39.49,2.369,20.426
8336.5,37.32,2.364,22.651
8337,38.31,2.366,19.367
8337.5,40.93,2.373,18.776
8338,40.27,2.371,19.729
8338.5,36.67,2.362,24.179
8339,34.98,2.359,23.103
8339.5,35.03,2.359,25.685
8340,35.66,2.36,25.165
8340.5,36.88,2.363,24.31
8341,40.13,2.371,19.188
8341.5,42.55,2.377,15.783
8342,43.03,2.378,15.432
8342.5,44.9,2.382,15.678
8343,48.43,2.392,13.02
8343.5,52.77,2.403,11.422
8344,56.13,2.412,10.844
8344.5,58.79,2.419,9.085
8345,60.53,2.424,9.719
8345.5,61.24,2.426,9.197
8346,59.69,2.422,10.503
8346.5,56.73,2.414,10.385
8347,53.67,2.405,11.273
8347.5,53.64,2.405,11.189
8348,56.83,2.414,10.334
8348.5,55.64,2.411,10.208
8349,51.22,2.399,12.42
8349.5,45.96,2.385,14.405
8350,43.33,2.379,15.89
8350.5,41.65,2.374,16.292
8351,39.7,2.37,17.595
8351.5,40.66,2.372,18.42
8352,42.55,2.377,15.432
8352.5,42.47,2.376,18.169
8353,39.9,2.37,18.906
8353.5,37.32,2.364,20.517
8354,36.88,2.363,20.386
8354.5,36.93,2.363,23.062
8355,36.68,2.362,21.011
8355.5,35.51,2.36,23.727
8356,34.54,2.358,27.519
8356.5,33.24,2.355,25.851
8357,31.65,2.351,31.164
8357.5,30.67,2.349,33.954
8358,30.04,2.348,33.413
8358.5,28.81,2.345,41.758
8359,28.39,2.344,40.395
8359.5,29.93,2.347,35.009
8360,33.14,2.354,29.28
8360.5,34.26,2.357,25.536
8361,34.41,2.357,27.871
8361.5,35.46,2.36,23.952
8362,37.04,2.363,22.797
8362.5,38.49,2.367,19.911
8363,38.66,2.367,20.685
8363.5,38.31,2.366,19.749
8364,38.18,2.366,19.012
8364.5,38.23,2.366,19.937
8365,39.18,2.368,18.151
8365.5,40.53,2.372,17.802
8366,40.35,2.371,17.73
8366.5,38.79,2.367,20.154
8367,36.8,2.363,22.35
8367.5,35.98,2.361,25.291
8368,37.63,2.365,21.999
8368.5,39.7,2.37,18.429
8369,42.39,2.376,17.661
8369.5,44.81,2.382,13.734
8370,47.77,2.39,12.957
8370.5,50.51,2.397,13.094
8371,53.86,2.406,11.002
8371.5,55.29,2.41,10.098
8372,54.38,2.407,10.518
8372.5,51.35,2.399,11.946
8373,47.95,2.39,13.004
8373.5,47.85,2.39,13.846
8374,48.25,2.391,13.829
8374.5,51.06,2.398,10.979
8375,57.26,2.415,10.799
8375.5,61.78,2.427,10.057
8376,38.42,2.367,19.979
8376.5,34.82,2.358,25.187
8377,33.77,2.356,25.509
8377.5,34.35,2.357,24.515
8378,35.3,2.359,22.699
8378.5,35.61,2.36,24.921
8379,35.99,2.361,21.864
8379.5,35.67,2.36,25.111
8380,37.19,2.364,21.99
8380.5,39.78,2.37,18.299
8381,42.42,2.376,16.467
8381.5,39.86,2.37,18.588
8382,37.77,2.365,20.359
8382.5,37.27,2.364,21.244
8383,40.63,2.372,16.721
8383.5,44.69,2.382,16.123
8384,47.28,2.389,12.643
8384.5,47.38,2.389,14.273
8385,42.84,2.377,16.856
8385.5,36.88,2.363,24.029
8386,34.95,2.358,26.058
8386.5,37.74,2.365,21.22
8387,43.69,2.379,15.87
8387.5,46.31,2.386,14.467
8388,44.35,2.381,16.167
8388.5,41.36,2.374,17.396
8389,40.37,2.371,18.037
8389.5,41.68,2.374,16.239
8390,39.9,2.37,17.558
8390.5,37.04,2.363,22.541
8391,34.67,2.358,26.5
8391.5,33.35,2.355,29.445
8392,33.13,2.354,26.428
8392.5,34.2,2.357,28.652
8393,41.23,2.373,18.936
8393.5,47.34,2.389,12.462
8394,51.11,2.399,11.086
8394.5,51.88,2.401,11.404
8395,50.57,2.397,12.817
8395.5,49.23,2.394,12.517
8396,47.53,2.389,13.118
8396.5,47.42,2.389,14.196
8397,46.86,2.387,13.875
8397.5,43.4,2.379,16.096
8398,39.59,2.369,18.716
